id_kursus,judul,link,link_gambar,penyelenggara,kategori,instruktor,level,rating,biaya,deskripsi,judul similiar
236,MacroeconometricForecasting,https://www.edx.org/learn/macroeconometric-forecasting/the-international-monetary-fund-macroeconometric-forecasting,https://prod-discovery.edx-cdn.org/media/course/image/d59b1a00-52a2-499a-b4b0-ade02e78c117-893262ddd011.jpg,The International Monetary Fund,Economics & Finance,,Intermediate,,,"Statistical Modeling, Policy Analysis, Demonstration Skills, Economics, Forecasting, Macroeconomics","['Revenue Forecasting andAnalysis', 'Monetary Policy Analysisand Forecasting', 'Project: Prediction Model', 'Data Visualization Plotly', 'Data Visualization']
"
237,Introducción a lasfinanzas: Principios devaloración,https://www.edx.org/learn/finance/universidad-del-rosario-introduccion-a-las-finanzas-principios-de-valoracion,https://prod-discovery.edx-cdn.org/media/course/image/af903afe-7dca-4e53-9094-c4270e016a47-05d0a40d68a9.jpg,Universidad del Rosario,Economics & Finance,,Intermediate,,,"Finance, Mathematical Finance, Decision Making, Microsoft Excel, Cash Flows, Investments, Financial Market","['Introduction to FinTech', 'Introduction toMathematics for Financeand Business', 'Introduction to PersonalFinancial Planning', 'Pengantar Analisis Merek Digital untuk Pemula', 'Introducción a la inversiónbursátil']
"
238,"Financial Programmingand Policies, Part 1:Macroeconomic Account…",https://www.edx.org/learn/finance/the-international-monetary-fund-financial-programming-and-policies-part-1-macroeconomic-accounts-analysis,https://prod-discovery.edx-cdn.org/media/course/image/d9a36013-a7f0-446b-9be0-39ac52c45570-34fc3af32ed7.jpg,The International Monetary Fund,Economics & Finance,,Intermediate,,,"Economics, Capacity Development, Economic Policy","['Financial Development andFinancial Inclusion', 'Financial accounting andcapital markets', 'Finanzas e inversionespara no financieros', 'Fundamentals of FinancialMathematics and CapitalBudgeting', 'Fundamentos deinformación financiera ycontable']
"
239,El arte de vender:introducción a las ventas,https://www.edx.org/learn/sales/pontificia-universidad-javeriana-el-arte-de-vender-introduccion-a-las-ventas,https://prod-discovery.edx-cdn.org/media/course/image/a207783b-7253-43db-9bbd-313114a3c629-88afa34eb76a.jpg,Pontificia Universidad Javeriana,Economics & Finance,,Introductory,,,"Marketing, Selling Techniques, Sales","['Marketing Introduction', 'Introducción a lasfinanzas: Principios devaloración', 'Introduction to Digital Marketing', 'Complete Introduction into Digital Marketing for Beginners', 'Introducción a la inversiónbursátil']
"
240,Finanzas e inversionespara no financieros,https://www.edx.org/learn/finance/universidad-del-rosario-finanzas-e-inversiones-para-no-financieros,https://prod-discovery.edx-cdn.org/media/course/image/0520b187-c97e-4690-b73b-e7c4e3982d47-dba6c870fba6.jpeg,Universidad del Rosario,Economics & Finance,,Introductory,,,None,"['Financial accounting andcapital markets', 'Financial Development andFinancial Inclusion', 'Fundamentals of FinancialMathematics and CapitalBudgeting', 'Fundamentos deinformación financiera ycontable', 'Dasar-Dasar Keuangan']
"
241,Información financiera ysu análisis,https://www.edx.org/learn/finance/tecnologico-de-monterrey-informacion-financiera-y-su-analisis,https://prod-discovery.edx-cdn.org/media/course/image/95737e5b-657c-4910-85ea-82f3e713e378-f53d9cd84b0f.jpeg,Tecnológico de Monterrey,Economics & Finance,,Advanced,,,"Finance, Accounting, Accounting Information Systems, Economics, Planning, Financial Statements, Management","['Financial Market Analysis', 'Dasar-Dasar Keuangan', 'Revenue Forecasting andAnalysis', 'Data Analysis Fundamental', 'ChatGPT for Data Analysis']
"
242,Principios de Economíaaplicados a Negocios,https://www.edx.org/learn/economics/tecnologico-de-monterrey-principios-de-economia-aplicados-a-negocios,https://prod-discovery.edx-cdn.org/media/course/image/117d7679-3aae-4767-8c67-6c9a7c1499f6-22d08300ee51.png,Tecnológico de Monterrey,Economics & Finance,,Advanced,,,"Decision Making, Economic Modeling, Economics","['Principios de Economía', 'Behavioral Economics andPublic Policy', 'Design Principles', 'Analisis Bisnis untuk Pemula : Metode Statistik', 'Macroeconomics ofClimate Change: Science,Economics, and Policies']
"
243,Monetary Policy Analysisand Forecasting,https://www.edx.org/learn/finance/the-international-monetary-fund-monetary-policy-analysis-and-forecasting,https://prod-discovery.edx-cdn.org/media/course/image/f2837d13-9f59-4916-8324-d772e2e49ee5-01c1223fada8.gif,The International Monetary Fund,Economics & Finance,,Advanced,,,"Policy Analysis, Forecasting, Monetary Policies, MATLAB, Capacity Development","['Revenue Forecasting andAnalysis', 'Behavioral Economics andPublic Policy', 'Financial Market Analysis', 'Macroeconomics ofClimate Change: Science,Economics, and Policies', 'Regression and Inferential Analysis']
"
244,Macroeconomics ofClimate Change: GreenPublic Finance,https://www.edx.org/learn/climate-change/the-international-monetary-fund-macroeconomics-of-climate-change-green-public-finance,https://prod-discovery.edx-cdn.org/media/course/image/7ca91583-26b3-434e-92e1-0eae2adf7c0a-cc2c9e982ced.png,The International Monetary Fund,Economics & Finance,,Intermediate,,,"Investment Management, Public Financial Management, Capacity Development, Protocol Independent Multicast, Macroeconomics, Public Finance","['Macroeconomics ofClimate Change: Science,Economics, and Policies', 'Macroeconomics ofClimate Change: ClimateRisks for the Financial Se…', 'Macroeconomics ofClimate Change:Economics of Adaptation', 'Inclusive Growth: ClimateChange', 'Climate Change: FinancialRisks and Opportunities']
"
245,Unlocking Investment andFinance in EmergingMarkets and Developing…,https://www.edx.org/learn/finance/world-bank-group-unlocking-investment-and-finance-in-emerging-markets-and-developing-economies-emdes,https://prod-discovery.edx-cdn.org/media/course/image/95f61afe-f3d7-4782-8210-618e9080bada-193ed45f47d8.jpg,World Bank Group,Economics & Finance,,Introductory,,,"Investments, Sustainable Development, Institutional Investing, Finance","['Finanzas e inversionespara no financieros', 'Financial accounting andcapital markets', 'Fundamentos deinformación financiera ycontable', 'Financial Development andFinancial Inclusion', 'Merancang dan Mengkreasikan Iklan Dengan Semiotika Visual']
"
