id,created_at,title,link,organizer,category,instructor,level,rating,fee,description,image
86,2023-12-16 16:47:23.175286+00,Dasar-Dasar Keuangan,https://www.linkedin.com/learning/dasar-dasar-keuangan,LinkedIn,Digital Marketing,Earl Stice,"Beginner ",5,Berbayar,"Keuangan ada di dunia nyata. Dampaknya dirasakan oleh semua orang: individu, keluarga, perusahaan, dan pemerintah. Meskipun mungkin terdengar rumit, inti dari keuangan adalah tentang memutuskan apa yang akan dibeli, mendapatkan uang yang dibutuhkan untuk membelinya, dan mengelola sumber daya yang sudah dimiliki secara efisien. Dalam kursus ini, profesor bisnis Universitas Brigham, Young Jim dan Kay Stice, memberikan gambaran umum yang komprehensif tentang keuangan, mulai dari penjelasan tentang cara membaca neraca hingga memahami derivatif dan sekuritas. Mereka juga menjawab pertanyaan-pertanyaan, seperti Apa perbedaan antara manajemen keuangan jangka pendek dan pembiayaan jangka panjang? dan Apa perbedaan antara bank tradisional, bank investasi, dan dana investasi? Selama mengikuti kursus, Anda juga bisa melihat isi laporan keuangan dari perusahaan, seperti Walmart dan Toys R Us, IPO Microsoft dan Facebook, bahkan data yang masuk ke dalam keputusan keuangan pribadi, seperti keputusan untuk membeli mobil.",https://media.licdn.com/dms/image/C4E0DAQESyFSQgf3J-Q/learning-public-crop_144_256/0/1593209160685?e=1701766800&v=beta&t=pwTCuaZsNSHOkPvvpyS2IgAvZUhLrsM98nKn85NE_dw
87,2023-12-16 16:47:23.175286+00,Dasar-Dasar Pemasaran Digital,https://www.linkedin.com/learning/dasar-dasar-pemasaran-digital,LinkedIn,Digital Marketing,Brad Batesole,"Beginner ",4.8,Berbayar,"Alat dan teknik pemasaran digital tengah berkembang secara konstan. Dalam kursus ini, instruktur Brad Batesole membantu Anda mengikuti perkembangan terbaru dari bidang yang cepat berubah ini, membahas segala hal yang perlu diketahui untuk membantu bisnis Anda menghadapi berbagai hambatan, menjalin interaksi dengan calon pelanggan, dan beradaptasi dari waktu ke waktu. Brad memulai kursus dengan membahas komponen penyusun pemasaran online, termasuk cara penggunaanya, perkembangan yang telah dilalui, dan perkembangannya pada masa mendatang. Ia lalu membahas cara menentukan proposisi nilai, mengidentifikasi pasar target, serta menetapkan sasaran dan KPI. Setelah itu, ia membahas cara pelanggan mengevaluasi keseluruhan kehadiran online dari sebuah merek, juga cara memutuskan saluran pemasaran, mengoptimalkan situs web, dan memanfaatkan SEO, iklan berbayar, dan media sosial untuk membantu audiens target menemukan Anda. Anda juga dapat mempelajari cara mengembangkan rencana pemasaran email, memulai pemasaran video, dan membuat laporan pemasaran yang mudah dipahami dan membantu menilai kemajuan Anda.",https://media.licdn.com/dms/image/C560DAQE9LZ-hOWd9Jw/learning-public-crop_144_256/0/1658296453440?e=1701766800&v=beta&t=YJY6LglpWiQCPTD9ro-byURfwTmZzlmvHp3NGnqzz64
88,2023-12-16 16:47:23.175286+00,Dasar-Dasar Pemasaran Media Sosial,https://www.linkedin.com/learning/dasar-dasar-pemasaran-media-sosial,LinkedIn,Digital Marketing,Brian Honigman,"Beginner ",4.8,Berbayar,"Media sosial benar-benar mendisrupsi dunia pemasaran dengan memungkinkan bisnis untuk berinteraksi langsung dengan pelanggan dan sebaliknya. Merek-merek yang bertahan lama menggunakan platform ini untuk menjalin hubungan baru dan membangun loyalitas jangka panjang. Dalam kursus ini, Anda dapat mempelajari dasar-dasar pemasaran media sosial. Instruktur Brian Honigman, seorang konsultan pakar pemasaran, menjelaskan alasan berinvestasi di media sosial dapat mendatangkan manfaat bagi bisnis Anda. Ia menunjukkan cara mendefinisikan audiens dan menyusun strategi media sosial yang berfokus pada tujuan organisasi Anda. Ia juga akan mengajarkan cara berkomunikasi secara efektif di jejaring sosial terkemuka, seperti Facebook, Instagram, dan Snapchat",https://media.licdn.com/dms/image/C560DAQE4wAf5LqrsVw/learning-public-crop_144_256/0/1658295688816?e=1701766800&v=beta&t=d4gtcyCZWVSt82lfvpAJ38z56bMIvFXKXDCnAdEX5Yw
89,2023-12-16 16:47:23.175286+00,Data Analysis Fundamental,https://myskill.id/course/data-analysis-fundamental,Myskill,Data Science & Data Analysis,Rizki Teguh Kurniawan,,4.65,Berbayar,"Data analysis menjadi primadona di masa kini, menjadi salah satu profesi yang sangat di cari oleh banyak perusahaan. Namun, sebelum melangkah lebih jauh, kamu akan mempelajari hal-hal fundamental tentang data analysis di materi pertama ini seperti Business Intelligence Analyst, Research Data Analyst, dan Marketing Data Analyst. Kamu akan lebih siap memasuki dunia data analyst ketika kamu selesai mempelajari materi ini.",https://image.myskill.id/elearning-poster/b3n6kJDTM0npV15pYsSV/thumbnail.png
90,2023-12-16 16:47:23.175286+00,Data Analysis with Excel and Power BI,https://www.udemy.com/course/dataanalysiswithexcelandpbi/,Udemy,Data Science & Data Analysis,Biswarup Sahu,,4.2,Gratis,"Apply Advance Excel Functions.Good understanding on functions like Forecast, Look Ups, Pivot Tables and Charts.Connect Excel with Power BI to get automatic updates in Power BI.Make interactive dashboard using Power BI.",https://img-c.udemycdn.com/course/240x135/5542614_a8c6_2.jpg
91,2023-12-16 16:47:23.175286+00,Data Analytics for Lean Six Sigma,https://www.coursera.org/learn/data-analytics-for-lean-six-sigma,Coursera,Data Science & Data Analysis,Inez Zwetsloot,,4.8,Gratis,"Dalam kursus ini Anda akan mempelajari teknik analisis data yang biasanya berguna dalam proyek peningkatan Lean Six Sigma. Pada akhir kursus ini, Anda dapat menganalisis dan menginterpretasikan data yang dikumpulkan dalam proyek semacam itu. Anda akan dapat menggunakan Minitab untuk menganalisis data. Saya juga akan menjelaskan secara singkat apa itu Lean Six Sigma. Saya akan menekankan pada penggunaan alat analisis data dan interpretasi hasilnya. Saya akan menggunakan banyak contoh berbeda dari proyek-proyek Lean Six Sigma yang sebenarnya untuk mengilustrasikan semua alat. Saya tidak akan membahas latar belakang matematika. ",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/80/038610d81b11e6a0bee5b62e3fe516/IBIS-vogel.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50
222,2023-12-16 16:47:23.175286+00,Logo Design,https://myskill.id/course/logo-design,Myskill,Graphic Design,Nanda Bachrus Soleh,,4.68,Berbayar,"Materi ini akan berfokus pada pengenalan, penjelasan manfaat, prinsip, hingga elemen logo bagi suatu brand. Selain itu, kita juga akan mempelajari mengenai proses pembuatan desain logo.",https://image.myskill.id/elearning-poster/cVzjZfWwubL4jaVy7pMW/thumbnail.png
93,2023-12-16 16:47:23.175286+00,Data Preparation in Database,https://myskill.id/course/data-preparation,Myskill,Data Science & Data Analysis,Rizki Basuki,,4.5,Berbayar,"Melalui video ini, kamu akan belajar mengenai SQL khususnya pada pengenalan dasar mengenai Database part kedua. Nantinya kamu juga akan belajar mengenai entity relationship diagram, entitas dan atribut serta DBMS dan aplikasi!",https://image.myskill.id/elearning-poster/trXdhDMasYIVejeLQC1k/thumbnail.png
94,2023-12-16 16:47:23.175286+00,Data Science Introduction,https://myskill.id/course/data-science-introduction,Myskill,Data Science & Data Analysis,Alifian Mahardhika Maulana,,4.63,Berbayar,"Materi ini akan membuat kamu mempelajari konsep dasar mengenai data science, data engineer, dan data analyst. Kamu akan dapat membedakan workflow seorang data scientist, data engineer, dan data analyst ketika kamu selesai mempelajari materi ini. Kamu juga akan dapat memahami perbedaan tentang workflow dan workload yang dibebankan kepada seseorang yang bekerja pada bidang Data Science.",https://image.myskill.id/elearning-poster/3cpVTn3Qypa2EFAFpjLR/thumbnail.png
95,2023-12-16 16:47:23.175286+00,Data Science Projects - Data Analysis & Machine Learning,https://www.udemy.com/course/data-science-projects-3/,Udemy,Data Science & Data Analysis,Onur Baltacı,,4.6,Gratis,Learn how to do a Data Science projectLearn how to apply Machine Learning AlgorithmsLearn performing Data Analysis and Feature EngineeringLearn how to analyze the model performances,https://img-c.udemycdn.com/course/240x135/5171788_a71d_2.jpg
96,2023-12-16 16:47:23.175286+00,"Data Science, Machine Learning, Data Analysis, Python & R",https://www.udemy.com/course/data-science-machine-learning-data-analysis-python-r/,Udemy,Data Science & Data Analysis,DATAhill Solutions Srinivas Reddy,,3.7,Gratis,What is Data ScienceArtificial Intelligence vs Machine Learning vs Deep LearningData Analysis using Python and RData Visualization using Python and RData Loading using Python and R,https://img-c.udemycdn.com/course/240x135/2760796_f9ed.jpg
97,2023-12-16 16:47:23.175286+00,Data Structure in Python,https://myskill.id/course/data-structure-in-python,Myskill,Data Science & Data Analysis,Muhammad Ihza Mahendra,,4.51,Berbayar,"Materi ini membahas mengenai pengenalan data structure dalam python. Selain itu, dibahas pula mengenai linked list, stack,queue, dan graph. Di akhir sesi, akan dibahas pula mengenai hashmaps dalam python.",https://image.myskill.id/elearning-poster/2dNlrerS4T0GGThXKDX8/thumbnail.png
98,2023-12-16 16:47:23.175286+00,Data Visualization,https://myskill.id/course/data-visualization,Myskill,Data Science & Data Analysis,Nouval Habibie,,4.56,Berbayar,"Pada materi ini, kita akan mempelajari visualisasi data. Kita akan belajar menganai Pengantar data visualisasi, Pemilihan grafik yang Sesuai, dan akan ada beberapa tips tentang visualisasi data. Setelah mempelaajari materi ini, peserta dapat memilih uji yang tepat disesuaikan dengan data yang dimilikinya.",https://image.myskill.id/elearning-poster/uh7ml6RaGPz4suNdUjUq/thumbnail.png
99,2023-12-16 16:47:23.175286+00,Data Visualization Bokeh,https://myskill.id/course/data-visualization-bokeh,Myskill,Data Science & Data Analysis,Muhammad Ihza Mahendra,,4.53,Berbayar,"Dalam video ini akan dibahas mengenai segala hal tentang data visualization using bokeh, mulai dari perkenalan bokeh itu sendiri, defferent type of plots and shapes, getting start, legenda, annotation, multiple in bokeh, dan interactive data visualization.",https://image.myskill.id/elearning-poster/wMagAyYl1f4A71xjiny4/thumbnail.png
100,2023-12-16 16:47:23.175286+00,Data Visualization Matplotlib,https://myskill.id/course/data-visualization-matplotlib,Myskill,Data Science & Data Analysis,Muhammad Ihza Mahendra,,4.59,Berbayar,"Di pembelajaran ini, kita akan mulai mempelajari tentang data visualization, matplotlib, dan pyplot",https://image.myskill.id/elearning-poster/OrTvNs1SAWbF978iDWMM/thumbnail.png
101,2023-12-16 16:47:23.175286+00,Data Visualization Plotly,https://myskill.id/course/data-visualization-plotly,Myskill,Data Science & Data Analysis,Muhammad Ihza Mahendra,,4.48,Berbayar,"Video ini akan banyak membahas mengenai ploty, mulai dari introduction sampai dengan different type in ploty dan adding interaction.",https://image.myskill.id/elearning-poster/UCXTrFUaqpyjVKV4AdwH/thumbnail.png
102,2023-12-16 16:47:23.175286+00,Data Visualization Practice,https://myskill.id/course/data-visualization-practice,Myskill,Data Science & Data Analysis,"Anugrah Rusdianto ",,4.41,Berbayar,"Materi ini masih dalam rangkaian basic data visualization. Di materi kali ini akan disajikan latihan penggunaan metode visualisasi data, komparasi, relasi dan gespatial data.",https://image.myskill.id/elearning-poster/JM9kZlB9KbrLwHaShxjD/thumbnail.png
103,2023-12-16 16:47:23.175286+00,Data Visualization Seaborn,https://myskill.id/course/data-visualization-seaborn,Myskill,Data Science & Data Analysis,Muhammad Ihza Mahendra,,4.57,Berbayar,"Dalam video ini akan dibahas mengenai beberapa point pembelajaran penting tentang data visualization using seaborn, mulai dari saeborn, costumize plot in seaborn, coloring palette in seaborn, multiple plot in seaborn, sampai dengan other type of plot in seaborn.",https://image.myskill.id/elearning-poster/64CdV6qj30GB4lGmFQpB/thumbnail.png
104,2023-12-16 16:47:23.175286+00,Data Visualization Type,https://myskill.id/course/data-visualization-type,Myskill,Data Science & Data Analysis,Muhammad Ihza Mahendra,,4.64,Berbayar,"Pada video ini akan dibahas secara lebih mendetail mengenai point-point penting dalam data visualization yaitu muali dari Line Plot, Bar Chart, Histogram, Scatterplot, dan Pie Chart.",https://image.myskill.id/elearning-poster/ePbk55kFHEOHgUZDXtFu/thumbnail.png
105,2023-12-16 16:47:23.175286+00,Database Introduction,https://myskill.id/course/database-introduction,Myskill,Data Science & Data Analysis,Rizki Basuki,,4.56,Berbayar,"Melalui video ini, kamu akan belajar mengenai SQL khususnya pada pengenalan dasar mengenai Database. Nantinya kamu juga akan belajar mengenai bagaimana mengatur data di database serta memasang MySQL!",https://image.myskill.id/elearning-poster/qAVr3YPoZhISN7lddchY/thumbnail.png
106,2023-12-16 16:47:23.175286+00,Dataframe Aggregate,https://myskill.id/course/dataframe-aggregate,Myskill,Data Science & Data Analysis,Nouval Habiebie,,4.54,Berbayar,"Pada pembelajaran ini, kita akan mempelajari mengenai grouping dan juga mengenai aggregate function.",https://image.myskill.id/elearning-poster/uQH7Hq5rMzEq62e7jBHi/thumbnail.png
107,2023-12-16 16:47:23.175286+00,Dataframe Merge,https://myskill.id/course/dataframe-merge,Myskill,Data Science & Data Analysis,Nouval Habiebie,,4.5,Berbayar,"Outline yang akan kita bahas di pembelajaran kali ini adalah membahas mengenai append, concat, dan table join.",https://image.myskill.id/elearning-poster/bTWGj3chi6XHZlqDNOgp/thumbnail.png
108,2023-12-16 16:47:23.175286+00,Datetime,https://myskill.id/course/datetime,Myskill,Data Science & Data Analysis,Nouval Habiebie,,4.58,Berbayar,"Pada pembelajaran kali ini kita akan mempelajari tentang datetime format, timedelta, dan zona waktu.",https://image.myskill.id/elearning-poster/eSSxkbWawPpY5YExUBMX/thumbnail.png
109,2023-12-16 16:47:23.175286+00,Descriptive Analysis,https://myskill.id/course/descriptive-analyst,Myskill,Data Science & Data Analysis,Nouval Habibie,,4.52,Berbayar,"Pada materi ini, kita akan mempelajari statistika deskriptif. Kita akan belajar menganai tipe data, tendensi pemusatan, tendensi penyebaran, dan outliers. Setelah mempelaajari materi ini, peserta dapat praktik Outliers, Boxplot, Histogram.",https://image.myskill.id/elearning-poster/0ld26EKoYzphN6FrpYyO/thumbnail.png
110,2023-12-16 16:47:23.175286+00,Design Element,https://myskill.id/course/design-element,Myskill,Graphic Design,Nanda Bachrus Soleh,,4.69,Berbayar,"Di materi ini, kita akan mempelajari elemen-elemen desain lebih lanjut. Materi akan membantu kita memahami pentingnya elemen desain dan komponen-komponen dalam elemen desain, mulai dari dot & line, tekstur, alignment, dan lain sebagainya.",https://image.myskill.id/elearning-poster/GEtYj0gSHHCK6YzreSTN/thumbnail.png
111,2023-12-16 16:47:23.175286+00,Design Principles,https://myskill.id/course/design-principles,Myskill,Graphic Design,Nanda Bachrus Soleh,,4.72,Berbayar,"Materi ini berisi pengenalan mengenai dasar-dasar desain grafis. Nantinya, kita akan memahami elemen-elemen desain dan prinsip-prinsip dasar desain. Di akhir materi, kita akan belajar menerapkan materi secara nyata melalui studi kasus yang telah disediakan.",https://image.myskill.id/elearning-poster/rnen9nj1x46tRqAbcmTs/thumbnail.png
112,2023-12-16 16:47:23.175286+00,Design Styles,https://myskill.id/course/design-styles,Myskill,Graphic Design,Pramono Hadi Sigit,,4.65,Berbayar,"Pada materi ini, Anda akan belajar mengenai design style, macam-macam design style, hingga langkah-langkah yang dapat dilakukan untuk menentukan design style yang akan digunakan.",https://image.myskill.id/elearning-poster/JdImOFSwdhayM9wPHSL4/thumbnail.png
113,2023-12-16 16:47:23.175286+00,Design Terminology,https://myskill.id/course/design-terminology,Myskill,Graphic Design,Nanda Bachrus Soleh,,4.67,Berbayar,"Setelah menyelesaikan materi ini, kita akan menguasai berbagai term yang berkaitan dengan desain grafis. Kita akan memahami istilah-istilah yang digunakan dalam aspek warna, teknis desain, typography, dan desain logo. Selain itu, kita juga akan belajar mengenai format-format foto yang sering digunakan dalam desain grafis.",https://image.myskill.id/elearning-poster/mdrdcGyOpqMz70lbb1t2/thumbnail.png
114,2023-12-16 16:47:23.175286+00,Designing Brand Identity,https://myskill.id/course/designing-brand-identity,Myskill,Graphic Design,Pramono Hadi Sigit,,4.73,Berbayar,"Pada materi kali ini, Anda akan belajar cara mendesain identitas sebuah brand yang akan menjadi ciri khas dari brand tersebut. Anda akan mempelajari komponen pembangunan identitas brand mulai dari membuat logo, moodboard, memilih palet warna, mengenali jenis-jenis font, hingga supergraphics.",https://image.myskill.id/elearning-poster/dGOkJh97xRioZIlryCBb/thumbnail.png
115,2023-12-16 16:47:23.175286+00,Digital Marketing Course | Digital Marketing Tutorial,https://www.udemy.com/course/digital-marketingcourse/,Udemy,Digital Marketing,Dopinger SEO Agency,"Beginner ",4.6,Gratis,How to start a digital marketing agencyHow to do digital marketingWhat is seo in digital marketingWhy digital marketingHow to digital marketingHow to learn digital marketingWhat is digital marketingWhat is digital marketing strategy,https://img-b.udemycdn.com/course/240x135/4126732_126f_4.jpg
116,2023-12-16 16:47:23.175286+00,Digital Marketing Course for Beginners,https://www.udemy.com/course/fundamentals-of-digital-marketing-online-course/,Udemy,Digital Marketing,Board Infinity,"Beginner ",4.4,Gratis,"Understand marketing basics - 4Ps(Product, Price, Place, Promotion), STP - and their application in the digital marketing realm.Compare and contrast traditional marketing with digital marketing, understanding the advantages of the latter and its impact on the marketing mix.Comprehend various types of digital marketing media, their uses, and how to effectively build a digital marketing funnel to convert prospects into customers.Gain proficiency in key online advertising channels including social media marketing, SEO/SEM, and email, content, and mobile marketing tactics.",https://img-c.udemycdn.com/course/240x135/5458116_d081_4.jpg
117,2023-12-16 16:47:23.175286+00,Digital Marketing Essentials Masterclass,https://www.udemy.com/course/digital-marketing-101-complete-digital-marketing-course/,Udemy,Digital Marketing,IIDE - The Digital School,"Beginner ",4.4,Gratis,"What is Digital Marketing and why it’s important for 2021Various components of Digital Marketing and their scopeFundamentals of SEM or Paid Advertising on GoogleFundamentals of Search Engine Optimization (SEO)Promoting websites by increasing their visibility in search engine results pages,What keywords are, why they play a major role in PPC advertising, and how to use them,Tools for keyword research and planning,SEO essentials along with tools to find what your target audience is looking for onlineBasics of Social Media Marketing through Facebook and Instagram AdsStep by step approach to running Facebook or Instagram AdsThe purpose and significance of RemarketingOther components of Digital Marketing like Email, SMS, Influencer and ORM Marketing",https://img-c.udemycdn.com/course/240x135/4157784_e5ac_2.jpg
118,2023-12-16 16:47:23.175286+00,Digital Marketing FAQs - Common Digital Marketing Questions,https://www.udemy.com/course/digital-marketing-faqs-common-digital-marketing-questions/,Udemy,Digital Marketing,Ben Silverstein,"Beginner ",4.5,Gratis,Do people spend more time on digital or traditional media?What is programmatic advertising?What is the difference between an Ad Network/DSP/SSP?Which brands spend the most on digital advertising and how do they allocate their budget?Why do I keep seeing ads for a specific company/brand?Is advertising for businesses in magazines dead?Are advertising firms salivating over the possibility of inserting ads into augmented reality?What is the “open exchange?”How can I optimize campaigns?,https://img-c.udemycdn.com/course/240x135/2180486_e166_3.jpg
119,2023-12-16 16:47:23.175286+00,Digital Marketing for Beginners 2023,https://www.udemy.com/course/digital-marketing-for-beginners-by-hafis/,Udemy,Digital Marketing,Mohamed Hafis,"Beginner ",3.7,Gratis,What is Digital MarketingBasics of Digital MarketingSocial Media in Digital MarketingHow to Get a Digital Marketing JobEmail Marketing in Digital MarketingContent Marketing in Digital MarketingAnalytics and Tools in Digital MarketingInfluencer Marketing in Digital MarketingSearch Engine Optimization in Digital MarketingOnline Reputation and Management in Digital Marketing,https://img-c.udemycdn.com/course/240x135/5422516_c60f.jpg
120,2023-12-16 16:47:23.175286+00,Digital Marketing for Plumbers | Plumbing Marketing 2023,https://www.udemy.com/course/plumbing-marketing/,Udemy,Digital Marketing,Ads Managed,"Beginner ",4.6,Gratis,"Master Plumbing Marketing!Learn the Best Plumber Marketing Strategies!Master Plumbing Google Ads, SEO, and Facebook Ads!Learn the Best Plumbing Marketing Tips!",https://img-b.udemycdn.com/course/240x135/5301556_1e0e_2.jpg
121,2023-12-16 16:47:23.175286+00,Digital Marketing Masterclass in 2 Hours,https://www.udemy.com/course/2-hour-digital-marketing-masterclass/,Udemy,Digital Marketing,Kevin Wilhelm,"Beginner ",4.4,Gratis,Digital MarketingMarketing StrategyDetermining Marketing ObjectivesBuilding a Marketing PlanDetermining Marketing BudgetsSearch Engine OptimizationPPC ManagementContent MarketingDigital Display AdvertisingVideo MarketingEmail MarketingOnline Reputation Management,https://img-c.udemycdn.com/course/240x135/3912966_321c.jpg
122,2023-12-16 16:47:23.175286+00,Digital Marketing Strategy for Managers,https://www.udemy.com/course/digital-marketing-strategy-for-managers/,Udemy,Digital Marketing,Navine Christian,"Beginner ",4.1,Gratis,"Search engine optimisation (SEO)Relationship between social media, e-commerce and websitesFree aspect of digital marketing",https://img-c.udemycdn.com/course/240x135/3396438_eb35_5.jpg
123,2023-12-16 16:47:23.175286+00,"Digital Marketing Strategy with Goldman Sachs 10,000 Women",https://www.coursera.org/learn/10kw-digital-marketing,Coursera,Digital Marketing,Dionysius Ang,"Beginner ",4.7,Gratis,"Kursus pilihan ini merupakan pengenalan terhadap pemasaran digital, dengan fokus khusus pada kampanye media sosial. Kursus ini melengkapi koleksi kursus Goldman Sachs 10,000 Women, yang dirancang untuk pengusaha yang siap untuk membawa bisnis mereka ke tingkat berikutnya. Dalam kursus ini, Anda akan mempelajari kiat-kiat terbaik untuk kampanye pemasaran digital yang efektif dan bagaimana merencanakan dan mengevaluasi kampanye media sosial untuk memaksimalkan peluang bisnis. Anda akan mengembangkan pemahaman praktis tentang proses perencanaan kampanye media sosial, dan bagaimana menggunakan media berbayar, yang diperoleh, dan yang dimiliki secara efektif dalam pemasaran digital Anda. Anda juga akan mempertimbangkan peran influencer dalam pemasaran Anda, mengeksplorasi pemasaran viral, pencarian berbayar, penempatan situs web, dan alat serta teknik pemasaran digital lainnya yang membantu menciptakan kampanye pemasaran digital yang sukses. ",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/82/1fb46cc09641ae9437fa317ea083ca/1200_square.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50
124,2023-12-16 16:47:23.175286+00,Digital Performance Marketing: Tips Memulai Beriklan Online,https://www.udemy.com/course/digital-performance-marketing-belajar-beriklan-online/,Udemy,Digital Marketing,Petrus Andre,"Beginner ",4.8,Gratis,"Memahami fitur-fitur Meta Business Suite dan Google Ads dashboardMengetahui cara membuat iklan di Facebook, Google, dan InstagramTahu jenis-jenis iklan yang ada di Facebook dan Google AdsMengerti konsep conversion tracking di Facebook dan Google AdsDapat menganalisa dan mengoptimalkan iklan di Facebook dan Google",https://img-b.udemycdn.com/course/240x135/4508568_0c09_5.jpg
125,2023-12-16 16:47:23.175286+00,Digital Platforms inPerformance,https://www.edx.org/learn/storytelling/university-of-cambridge-digital-platforms-in-performance,University of Cambridge,Communication,,Intermediate,,,"Script Writing, Podcasting, Digital Productions, Creativity",https://prod-discovery.edx-cdn.org/media/course/image/b42ba0d8-08b2-48a4-904e-851a800f0c0e-9d260507a74e.small.jpeg
126,2023-12-16 16:47:23.175286+00,Economics: ConsumerDemand,https://www.edx.org/learn/economics/babson-college-economics-consumer-demand,Babson College,Economics & Finance,,Introductory,,,"Strategic Planning, Business Strategies, Economics",https://prod-discovery.edx-cdn.org/media/course/image/ab6ffdf5-70e5-4932-ba39-1c156647a367-d5a8f54eb580.small.jpg
127,2023-12-16 16:47:23.175286+00,Edición de vídeo ypostproducción conDaVinci Resolve. Básico,https://www.edx.org/learn/business-communications/universidad-carlos-iii-de-madrid-edicion-de-video-y-postproduccion-con-davinci-resolve,Universidad Carlos III de Madrid,Communication,,Introductory,,,"Audio Editing Software, Post-Production, Audio Editing, Written Composition, Animations, DaVinci Resolve (Video Editing Software), Creativity, Color Correction, Computing Platforms, Audio Mixing, Tutorials, Visual Effects, Video Editing, Sound Effects",https://prod-discovery.edx-cdn.org/media/course/image/4a73acff-ee97-495a-8602-dcf9b4e5fce6-bd747619275f.small.png
128,2023-12-16 16:47:23.175286+00,El arte de vender:introducción a las ventas,https://www.edx.org/learn/sales/pontificia-universidad-javeriana-el-arte-de-vender-introduccion-a-las-ventas,Pontificia Universidad Javeriana,Economics & Finance,,Introductory,,,"Marketing, Selling Techniques, Sales",https://prod-discovery.edx-cdn.org/media/course/image/a207783b-7253-43db-9bbd-313114a3c629-88afa34eb76a.jpg
129,2023-12-16 16:47:23.175286+00,El cerebro y las emocionesen el lenguaje,https://www.edx.org/learn/language/universidad-del-rosario-el-cerebro-y-las-emociones-en-el-lenguaje,Universidad del Rosario,Communication,,Introductory,,,"Influencing Skills, Problem Solving, Biology, Emotional Intelligence, Communications",https://prod-discovery.edx-cdn.org/media/course/image/dc96abfa-fb45-4ae0-8bfa-792589e74d0a-153f5d264e50.small.jpg
130,2023-12-16 16:47:23.175286+00,El poder de lacomunicación consciente,https://www.edx.org/learn/mindfulness/universidad-del-rosario-el-poder-de-la-comunicacion-consciente,Universidad del Rosario,Communication,,Introductory,,,"Psychology, Adult Education, Communications, Sociology, Pedagogy, Neurology",https://prod-discovery.edx-cdn.org/media/course/image/5c3e914b-9e97-4a5c-8431-1cc3a262f03e-c3ee38f8ab8f.small.png
131,2023-12-16 16:47:23.175286+00,Email marketing: diseño ygestión de campañas,https://www.edx.org/learn/digital-marketing/universidad-galileo-email-marketing-diseno-y-gestion-de-campanas,Universidad Galileo,Communication,,Introductory,,,"Digital Marketing, Email Marketing, Marketing, Management, Sales, Mailchimp, Conversion Marketing, Sales Process",https://prod-discovery.edx-cdn.org/media/course/image/9b9ab175-c168-458c-9586-ca26faddb2b8-e22915c10b86.small.jpg
132,2023-12-16 16:47:23.175286+00,"English for Journalists,Part 1",https://www.edx.org/learn/journalism/university-of-california-berkeley-english-for-journalists-part-1,"University of California, Berkeley",Communication,,Intermediate,,,"Idioms, Vocabulary, Communications, Journalism, Writing, English Language, Grammar",https://prod-discovery.edx-cdn.org/media/course/image/cdc1f3db-0242-403f-b338-50805cb8a03d-e27f9c6f94c0.small.jpg
133,2023-12-16 16:47:23.175286+00,Entrepreneurship Skala Lokal hingga Global,https://kelas.work/classes/entrepreneurship-skala-lokal-hingga-global,Kelas.work,Digital Marketing,Dr. Harry Patria,"Beginner ",,Berbayar,"Dunia entrepreneurship berkaitan erat dengan sosok kepemimpinan, seorang pemimpin di dalam perusahaan harus cermat untuk melihat kebutuhan-kebutuhan yang diperlukan di masyarakat. Pada abad ke-21, kehadiran teknologi secara tidak langsung mendisrupsi dunia bisnis, di tengah hadirnya berbagai kompetitor mencari strategi dan menemukan terobosan untuk mempertahankan bisnis adalah kewajiban seorang entrepreneurship. Di sini kamu akan mempelajari mengenai tahapan awal seorang entrepreneurship mulai dari entrepreneurial process, discovery, concept development, resourcing, actualization, harvesting dan sampai mengembangkan global entrepreneurship. Tidak hanya itu, di kelas ini pun kamu akan diajarkan untuk menciptakan produk-produk yang memberikan nilai dan solusi kepada masyarakat, sampai mempelajari business model yang dikembangkan oleh Elon Musk serta berbagai alat analisis yang cocok digunakan untuk modal pemimpin perusahaan. Maka dari itu, jika kamu tertarik untuk mendalami bidang entrepreneurship, kelas ini merupakan tempat yang cocok untuk mengetahui segala seluk-beluknya.",https://kelas-work.s3.ap-southeast-1.amazonaws.com/bucket-prod-98123hsandknaknd1u3/upload/files/img/class/cover-590dcba8ec490415fc6e5dc0ab8f94c3-YA0xL.webp
134,2023-12-16 16:47:23.175286+00,Evaluating Impact in Low-and Middle-IncomeCountries,https://www.edx.org/learn/economics/world-bank-group-evaluating-impact-in-low-and-middle-income-countries,World Bank Group,Economics & Finance,,Introductory,,,"Agriculture, Quick Learning, Randomized Controlled Trial, Innovation, Microfinance, Health Education, Human Development",https://prod-discovery.edx-cdn.org/media/course/image/45a0f892-75f0-4b7f-b349-bd94c5e3d515-1735994b374c.small.jpeg
