id,created_at,title,link,organizer,category,instructor,level,rating,fee,description,image
41,2023-12-16 16:47:23.175286+00,Basics of Plotly for Data Analysis & Data Science,https://www.udemy.com/course/plotly_real_world_projects_for_data-analysis_data-science/,Udemy,Data Science & Data Analysis,Shan Singh,,4.7,Gratis,"Learn about Essentials of Plotly to create plots like Bar Charts, Line Charts, Scatter Plots, Histogram ,distribution plots , and more!How to Create Layouts with Plotly's Dash library.How to Deploy your interactive dashboardsLearn styling in Plotly",https://img-b.udemycdn.com/course/240x135/4844626_3de6.jpg
42,2023-12-16 16:47:23.175286+00,Basics of Seaborn for Data Analysis & Data Science,https://www.udemy.com/course/seaborn_real_world_projects_for_data-analysis-data-science/,Udemy,Data Science & Data Analysis,Shan Singh,,4.3,Gratis,"Learn about Essentials of seaborn to create plots like Bar Charts, Line Charts, Scatter Plots, Histogram ,distribution plots , and more!How to update Layouts with seabornLearn styling in seabornLearn basic functionality when to use seaborn",https://img-b.udemycdn.com/course/240x135/4844624_a26d.jpg
43,2023-12-16 16:47:23.175286+00,Becoming a SuccessfulLeader (InclusiveLeadership Training),https://www.edx.org/learn/leadership/catalyst-becoming-a-successful-leader-inclusive-leadership-training,Catalyst,Communication,,Introductory,,,"Accountability, Leadership Styles, Leadership Development, Leadership",https://prod-discovery.edx-cdn.org/media/course/image/279fc0f3-fba6-4a13-b538-d05844370430-43f11d79ac47.small.jpg
44,2023-12-16 16:47:23.175286+00,Becoming an EffectiveLeader,https://www.edx.org/learn/leadership/the-university-of-queensland-becoming-an-effective-leader,The University of Queensland,Communication,,Intermediate,,,"Leadership Styles, Empathy, Human Capital, Leadership, Management",https://prod-discovery.edx-cdn.org/media/course/image/9a0c24fa-6758-464d-9a01-fd5c7b18a96b-133d1c3bd2cd.small.jpg
45,2023-12-16 16:47:23.175286+00,Beginners Guide To Graphic Design Without Paid Software,https://www.udemy.com/course/graphic-design-the-easy-way/,Udemy,Graphic Design,Greg Gottfried,,4.3,Gratis,How to easily make designs and modify photos.Learn great tools to use for quick graphic design needs.How to take your content marketing to the next level.How to learn a new skill to add to your resume.How to make creative designs even as a beginner!,https://img-c.udemycdn.com/course/240x135/1472860_42e6_2.jpg
46,2023-12-16 16:47:23.175286+00,Behavioral Economics andPublic Policy,https://www.edx.org/learn/behavioral-economics/indian-institute-of-management-bangalore-behavioral-economics-and-public-policy,Indian Institute of Management B…,Economics & Finance,,Intermediate,,,"Decision Making, Psychology, Public Policies, Economics",https://prod-discovery.edx-cdn.org/media/course/image/51d9f899-ef8d-4024-9ac4-b3b7b0ab3adf-580c726ed212.png
47,2023-12-16 16:47:23.175286+00,Belajar Excel: Analisis Data,https://www.linkedin.com/learning/belajar-excel-analisis-data,LinkedIn,Data Science & Data Analysis,Curt Frye,,,Berbayar,"Microsoft Excel adalah alat penting untuk analisis data. Alat ini membantu perusahaan menilai situasi secara akurat dan membuat keputusan bisnis yang lebih baik. Kursus ini membantu mengungkap kekuatan data organisasi Anda menggunakan analisis data dan alat visualisasi yang ada di Excel. Curt Frye, seorang penulis, mengawali kursus ini dengan konsep dasar, termasuk perhitungan dasar, seperti mean, median, dan standar deviasi, serta memberikan pengantar teorema limit pusat. Dia kemudian menunjukkan cara memvisualisasikan data, hubungan, dan hasil pada masa mendatang dengan histogram, grafik, dan bagan Excel. Dia juga membahas pengujian hipotesis, pemodelan distribusi data yang berbeda, serta menghitung kovarian dan korelasi antara kumpulan data. Pada akhir kursus, dia akan meninjau proses penghitungan probabilitas Bayesian di Excel. Setiap bab dilengkapi contoh-contoh praktis yang menunjukkan cara teknik-teknik tersebut diterapkan pada masalah bisnis dunia nyata.",https://media.licdn.com/dms/image/C4E0DAQFl3u7X-KGAYA/learning-public-crop_144_256/0/1568061171411?e=1701788400&v=beta&t=fayle9C7aZROcdlJJyDPgw5WJYiwQZUreSvOEFvtDME
48,2023-12-16 16:47:23.175286+00,Brand & Creative Strategy,https://myskill.id/course/creating-brand-positioning,Myskill,Digital Marketing,Ryan Dwana,"Beginner ",4.65,Berbayar,Mempelajari dasar-dasar dalam melakukan branding produk yang kamu punya. Kamu akan dibuat untuk memahami nilai sebuah brand melalui elemen-elemen dari Brand Equity agar dapat diterapkan kepada produk kamu. Kamu akan mempelajari cara untuk mengembangkan brand produk melalui pendekatan fisik dan mental sehingga dapat meningkatkan efektivitas pemasaran yang kamu lakukan.,https://image.myskill.id/elearning-poster/bv8I0ebFyeXSewQvlneE/thumbnail.png
49,2023-12-16 16:47:23.175286+00,Brand Campaign Touchpoints,https://myskill.id/course/brand-campaign-touchpoints,Myskill,Digital Marketing,Ryan Dwana,"Beginner ",4.7,Berbayar,Dalam materi ini kamu akan mempelajari dasar pengetahuan mengenai Marketing dan analisa unsur yang mempengaruhinya. Kamu akan mempelajari mengenai mengenai dasar-dasar Marketing Mix dan cara memulai marketing sehingga dapat membantu kamu dalam melakukan eksekusi marketing yang dapat menghasilkan keuntungan. Kemudian kamu akan mempelajari unsur-unsur yang mempengaruhi Marketing dan analisa SWOT sehingga kamu dapat meningkatkan efektifitas pemasaran Anda.,https://image.myskill.id/elearning-poster/MjKrrqOdP5XlQOtuepGu/thumbnail.png
50,2023-12-16 16:47:23.175286+00,Brand Guideline Design,https://myskill.id/course/brand-guideline-design,Myskill,Graphic Design,Pramono Hadi Sigit,,4.62,Berbayar,"Materi ini akan mengajak Anda belajar mengenain komponen dalam Brand Guideline. Di awal materi, tentunya Anda akan belajar mengenai definisi Brand Guideline, dilanjut dengan komponen beserta contoh-contoh Brand Guideline.",https://image.myskill.id/elearning-poster/n4UH4BMwakM6DpaDYc3G/thumbnail.png
51,2023-12-16 16:47:23.175286+00,Brand Identity Design,https://myskill.id/course/brand-identity-design,Myskill,Graphic Design,Pramono Hadi Sigit,,4.71,Berbayar,"Materi ini akan memberikan pengertian dasar mengenai brand identity, manfaat dari brand identity, hingga komponen-komponen yang terdapat di dalamnya.",https://image.myskill.id/elearning-poster/mGtOvIxdz2f3rXKnftuj/thumbnail.png
52,2023-12-16 16:47:23.175286+00,Brand Positioning Introduction,https://myskill.id/course/brand-positioning-introduction,Myskill,Digital Marketing,Ryan Dwana,"Beginner ",4.6,Berbayar,"Dalam materi ini, kamu akan mempelajari konsep dasar dalam pemasaran dan berbagai unsur yang terkait. Selanjutnya, kamu juga mempelajari tentang Marketing Mix, Analisis SWOT, 4C Diamond, dan juga merancang startegi suatu pemasaran secara lebih mendalam",https://image.myskill.id/elearning-poster/nejKrWNrDqUJuu1VJQSN/thumbnail.png
53,2023-12-16 16:47:23.175286+00,Branding Introduction,https://myskill.id/course/branding-introduction,Myskill,Digital Marketing,Ryan Dwana,"Beginner ",4.61,Berbayar,"Dalam materi ini kamu akan mempelajari prinsip-prinsip dasar untuk melakukan branding suatu produk yang kamu miliki. Kamu juga akan diberi pemahaman tentang pentingnya sebuah merek melalui komponen-komponen dari Brand Equity agar bisa kamu aplikasikan pada produk yang kamu miliki. Selain itu, kamu juga akan mempelajari cara untuk mengembangkan brand produk melalui pendekatan fisik dan mental sehingga dapat meningkatkan efektivitas strategi pemasaran yang kamu lakukan.",https://image.myskill.id/elearning-poster/H9iOsPbDNyJTn6aU8tK8/thumbnail.png
54,2023-12-16 16:47:23.175286+00,Building stakeholder value,https://www.edx.org/learn/economics/university-of-cambridge-building-stakeholder-value,University of Cambridge,Economics & Finance,,Intermediate,,,"Microsoft Outlook, Rate Of Return, Investments, Shareholder Communications, Accounting, Key Performance Indicators (KPIs), Financial Statements",https://prod-discovery.edx-cdn.org/media/course/image/15d0a9ba-1ab1-44e9-a00a-152bd618ebf0-190bcbe07575.small.jpeg
69,2023-12-16 16:47:23.175286+00,Cohort and Retention Analysis Practice,https://myskill.id/course/cohort-retention-analysis-practice,Myskill,Data Science & Data Analysis,Rizki Teguh Kurniawan,,4.45,Berbayar,Materi ini adalah lanjutan dan implementasi dari materi sebelumnya. Di sini akan berlatih melaksanakan Cohort and Retention Analysis,https://image.myskill.id/elearning-poster/tk8ssbtxOy2st5eXO73W/thumbnail.png
70,2023-12-16 16:47:23.175286+00,Colours,https://myskill.id/course/colours,Myskill,Graphic Design,Nanda Bachrus Soleh,,4.64,Berbayar,"Materi ini berfokus mengenai warna, mulai dari perkenalan warna, jenis kombinasi warna, pengaruh pemilihan warna dari sisi psikologis, hingga langkah-langkah untuk menentukan warna yang tepat dalam mendesain.",https://image.myskill.id/elearning-poster/NMCNryYR9WLuri0S8a0n/thumbnail.png
